Date,Open,High,Low,Close,Adj Close,Volume
2015-10-28,0.192190,0.193280,0.190000,0.191880,0.120236,2944000
2015-10-29,0.184690,0.191410,0.182660,0.183750,0.115141,14342400
2015-10-30,0.184530,0.187810,0.181880,0.184380,0.115536,13625600
2015-11-03,0.186090,0.188440,0.176720,0.177030,0.110930,18323200
2015-11-04,0.176560,0.193750,0.176410,0.183750,0.115141,19449600
2015-11-05,0.183750,0.190630,0.178590,0.184220,0.115436,18937600
2015-11-06,0.182030,0.184530,0.176880,0.176880,0.110836,13593600
2015-11-09,0.177810,0.181090,0.169220,0.172810,0.108286,16838400
2015-11-10,0.171880,0.175000,0.162500,0.164060,0.102803,28825600
2015-11-11,0.164690,0.167970,0.160780,0.165000,0.103392,19814400
2015-11-12,0.165160,0.165160,0.159840,0.160940,0.100848,16185600
2015-11-13,0.160630,0.170310,0.159690,0.165630,0.103787,18886400
2015-11-16,0.165630,0.167190,0.161090,0.162500,0.101826,16134400
2015-11-17,0.162970,0.173280,0.162660,0.171720,0.107603,23571200
2015-11-18,0.173440,0.176410,0.164060,0.164060,0.102803,23270400
2015-11-19,0.165000,0.166880,0.161250,0.163910,0.102709,12672000
2015-11-23,0.165160,0.165780,0.161250,0.161410,0.101143,8819200
2015-11-24,0.162810,0.167500,0.159690,0.167500,0.104959,9241600
2015-11-25,0.164060,0.164220,0.157810,0.159690,0.100065,9702400
2015-11-26,0.159840,0.167500,0.159530,0.165160,0.103492,14598400
2015-11-27,0.167030,0.167030,0.156250,0.156250,0.097909,13766400
2015-11-30,0.157030,0.157340,0.137970,0.137970,0.086455,22272000
2015-12-01,0.142030,0.142190,0.125000,0.125000,0.078327,22208000
2015-12-02,0.127190,0.130780,0.124060,0.126250,0.079111,15980800
2015-12-03,0.128130,0.137660,0.127340,0.135470,0.084888,16876800
2015-12-04,0.135470,0.135470,0.125160,0.125160,0.078428,12128000
2015-12-07,0.127030,0.132660,0.125000,0.131090,0.082144,14592000
2015-12-08,0.130940,0.130940,0.123280,0.124220,0.077839,14227200
2015-12-09,0.126090,0.132810,0.125160,0.126720,0.079405,26956800
2015-12-10,0.130470,0.141880,0.125000,0.132810,0.083221,32000000
2015-12-11,0.130470,0.130780,0.125310,0.125470,0.078622,14182400
2015-12-14,0.125780,0.127030,0.121560,0.122340,0.076661,19724800
2015-12-15,0.130630,0.156250,0.130470,0.137500,0.086160,78585600
2015-12-16,0.139060,0.145000,0.135160,0.143440,0.089882,25497600
2015-12-17,0.143910,0.167190,0.143910,0.165630,0.103787,57062400
2015-12-18,0.166410,0.175000,0.159690,0.164060,0.102803,59046400
2015-12-21,0.170310,0.171250,0.157660,0.157810,0.098887,15718400
2015-12-22,0.158750,0.170160,0.157810,0.170000,0.106525,30163200
2015-12-23,0.170310,0.184380,0.170310,0.184380,0.115536,23334400
2015-12-28,0.184380,0.253130,0.184380,0.253130,0.158616,64140800
2015-12-29,0.260940,0.281250,0.241410,0.280470,0.175748,107616000
2015-12-30,0.269530,0.279060,0.259690,0.275780,0.172809,49414400
2016-01-04,0.264840,0.285940,0.259690,0.280470,0.175748,34636800
2016-01-05,0.286090,0.290310,0.280470,0.283280,0.177509,24044800
2016-01-06,0.283280,0.285940,0.258750,0.258750,0.162138,29331200
2016-01-07,0.250000,0.250000,0.204690,0.224380,0.140601,56672000
2016-01-08,0.234380,0.238280,0.222660,0.225310,0.141184,24409600
2016-01-11,0.226410,0.235160,0.219060,0.225310,0.141184,8512000
2016-01-12,0.229380,0.229380,0.211090,0.212500,0.133157,5881600
2016-01-13,0.213440,0.218750,0.200000,0.211090,0.132273,12793600
2016-01-14,0.208590,0.221720,0.196880,0.221720,0.138934,10342400
2016-01-15,0.218910,0.225000,0.214220,0.225000,0.140989,5900800
2016-01-18,0.226720,0.240940,0.221880,0.221880,0.139034,8697600
2016-01-19,0.224220,0.233590,0.217190,0.217190,0.136095,4908800
2016-01-20,0.215470,0.218280,0.207810,0.215630,0.135118,5388800
2016-01-21,0.214840,0.221720,0.214060,0.214060,0.134134,3827200
2016-01-22,0.217190,0.218910,0.199220,0.199220,0.124835,4313600
2016-01-26,0.199220,0.205940,0.198910,0.200160,0.125424,6752000
2016-01-27,0.201880,0.206720,0.201720,0.202810,0.127085,3212800
2016-01-28,0.202810,0.207340,0.200780,0.200780,0.125813,2259200
2016-01-29,0.204530,0.227660,0.201720,0.221090,0.138539,9337600
